id,pressure,x,y,z
0,999999.99999637,0,0.5,0
0.01,999999.99999637,0.01,0.5,0
0.02,999999.99999637,0.02,0.5,0
0.03,999999.99999637,0.03,0.5,0
0.04,999999.99999637,0.04,0.5,0
0.05,999999.99999637,0.05,0.5,0
0.06,999999.99999637,0.06,0.5,0
0.07,999999.99999637,0.07,0.5,0
0.08,999999.99999637,0.08,0.5,0
0.09,999999.99999637,0.09,0.5,0
0.1,999999.99999637,0.1,0.5,0
0.11,999999.99999637,0.11,0.5,0
0.12,999999.99999637,0.12,0.5,0
0.13,999999.99999637,0.13,0.5,0
0.14,999999.99999637,0.14,0.5,0
0.15,999999.99999637,0.15,0.5,0
0.16,999999.99999637,0.16,0.5,0
0.17,999999.99999637,0.17,0.5,0
0.18,999999.99999637,0.18,0.5,0
0.19,999999.99999637,0.19,0.5,0
0.2,999999.99999637,0.2,0.5,0
0.21,999999.99999637,0.21,0.5,0
0.22,999999.99999637,0.22,0.5,0
0.23,999999.99999637,0.23,0.5,0
0.24,999999.99999637,0.24,0.5,0
0.25,999999.99999637,0.25,0.5,0
0.26,999999.99999637,0.26,0.5,0
0.27,999999.99999637,0.27,0.5,0
0.28,999999.99999637,0.28,0.5,0
0.29,999999.99999637,0.29,0.5,0
0.3,999999.99999637,0.3,0.5,0
0.31,999999.99999637,0.31,0.5,0
0.32,999999.99999637,0.32,0.5,0
0.33,999999.99999637,0.33,0.5,0
0.34,999999.99999637,0.34,0.5,0
0.35,999999.99999637,0.35,0.5,0
0.36,999999.99999637,0.36,0.5,0
0.37,999999.99999637,0.37,0.5,0
0.38,999999.99999637,0.38,0.5,0
0.39,999999.99999637,0.39,0.5,0
0.4,999999.99999637,0.4,0.5,0
0.41,999999.99999637,0.41,0.5,0
0.42,999999.99999637,0.42,0.5,0
0.43,999999.99999637,0.43,0.5,0
0.44,999999.99999637,0.44,0.5,0
0.45,999999.99999637,0.45,0.5,0
0.46,999999.99999637,0.46,0.5,0
0.47,999999.99999637,0.47,0.5,0
0.48,999999.99999637,0.48,0.5,0
0.49,999999.99999637,0.49,0.5,0
0.5,999999.99999637,0.5,0.5,0
0.51,999999.99999637,0.51,0.5,0
0.52,999999.99999637,0.52,0.5,0
0.53,999999.99999637,0.53,0.5,0
0.54,999999.99999637,0.54,0.5,0
0.55,999999.99999637,0.55,0.5,0
0.56,999999.99999637,0.56,0.5,0
0.57,999999.99999637,0.57,0.5,0
0.58,999999.99999637,0.58,0.5,0
0.59,999999.99999637,0.59,0.5,0
0.6,999999.99999637,0.6,0.5,0
0.61,999999.99999637,0.61,0.5,0
0.62,999999.99999637,0.62,0.5,0
0.63,999999.99999637,0.63,0.5,0
0.64,999999.99999637,0.64,0.5,0
0.65,999999.99999637,0.65,0.5,0
0.66,999999.99999637,0.66,0.5,0
0.67,999999.99999637,0.67,0.5,0
0.68,999999.99999637,0.68,0.5,0
0.69,999999.99999637,0.69,0.5,0
0.7,999999.99999637,0.7,0.5,0
0.71,999999.99999637,0.71,0.5,0
0.72,999999.99999637,0.72,0.5,0
0.73,999999.99999637,0.73,0.5,0
0.74,999999.99999637,0.74,0.5,0
0.75,999999.99999637,0.75,0.5,0
0.76,999999.99999637,0.76,0.5,0
0.77,999999.99999637,0.77,0.5,0
0.78,999999.99999637,0.78,0.5,0
0.79,999999.99999637,0.79,0.5,0
0.8,999999.99999637,0.8,0.5,0
0.81,999999.99999637,0.81,0.5,0
0.82,999999.99999637,0.82,0.5,0
0.83,999999.99999637,0.83,0.5,0
0.84,999999.99999637,0.84,0.5,0
0.85,999999.99999637,0.85,0.5,0
0.86,999999.99999637,0.86,0.5,0
0.87,999999.99999637,0.87,0.5,0
0.88,999999.99999637,0.88,0.5,0
0.89,999999.99999637,0.89,0.5,0
0.9,999999.99999637,0.9,0.5,0
0.91,999999.99999637,0.91,0.5,0
0.92,999999.99999637,0.92,0.5,0
0.93,999999.99999637,0.93,0.5,0
0.94,999999.99999637,0.94,0.5,0
0.95,999999.99999637,0.95,0.5,0
0.96,999999.99999637,0.96,0.5,0
0.97,999999.99999637,0.97,0.5,0
0.98,999999.99999637,0.98,0.5,0
0.99,999999.99999637,0.99,0.5,0
1,999999.99999637,1,0.5,0
1.01,999999.99999637,1.01,0.5,0
1.02,999999.99999637,1.02,0.5,0
1.03,999999.99999637,1.03,0.5,0
1.04,999999.99999637,1.04,0.5,0
1.05,999999.99999637,1.05,0.5,0
1.06,999999.99999637,1.06,0.5,0
1.07,999999.99999637,1.07,0.5,0
1.08,999999.99999637,1.08,0.5,0
1.09,999999.99999637,1.09,0.5,0
1.1,999999.99999637,1.1,0.5,0
1.11,999999.99999637,1.11,0.5,0
1.12,999999.99999637,1.12,0.5,0
1.13,999999.99999637,1.13,0.5,0
1.14,999999.99999637,1.14,0.5,0
1.15,999999.99999637,1.15,0.5,0
1.16,999999.99999637,1.16,0.5,0
1.17,999999.99999637,1.17,0.5,0
