id,superficial_u,x,y,z
1.31,0.99999999999996,1.31,0.5,0
1.32,0.99999999999996,1.32,0.5,0
1.33,0.99999999999996,1.33,0.5,0
1.34,0.99999999999996,1.34,0.5,0
1.35,0.99999999999996,1.35,0.5,0
1.36,0.99999999999996,1.36,0.5,0
1.37,0.99999999999999,1.37,0.5,0
1.38,0.99999999999999,1.38,0.5,0
1.39,0.99999999999999,1.39,0.5,0
1.4,0.99999999999999,1.4,0.5,0
1.41,1.0000000000001,1.41,0.5,0
1.42,1.0000000000001,1.42,0.5,0
1.43,1.0000000000001,1.43,0.5,0
1.44,1.0000000000001,1.44,0.5,0
1.45,1,1.45,0.5,0
1.46,1,1.46,0.5,0
1.47,1,1.47,0.5,0
1.48,1,1.48,0.5,0
1.49,1.0000000000001,1.49,0.5,0
1.5,1.0000000000001,1.5,0.5,0
1.51,1.0000000000001,1.51,0.5,0
1.52,1.0000000000001,1.52,0.5,0
1.53,1.0000000000001,1.53,0.5,0
1.54,1.0000000000001,1.54,0.5,0
1.55,1.0000000000001,1.55,0.5,0
1.56,1.0000000000001,1.56,0.5,0
1.57,1.0000000000001,1.57,0.5,0
1.58,1.0000000000001,1.58,0.5,0
1.59,1.0000000000001,1.59,0.5,0
1.6,1.0000000000001,1.6,0.5,0
1.61,1,1.61,0.5,0
1.62,1,1.62,0.5,0
1.63,1,1.63,0.5,0
1.64,1,1.64,0.5,0
1.65,0.99999999999988,1.65,0.5,0
1.66,0.99999999999988,1.66,0.5,0
1.67,0.99999999999988,1.67,0.5,0
1.68,0.99999999999988,1.68,0.5,0
1.69,0.99999999999992,1.69,0.5,0
1.7,0.99999999999992,1.7,0.5,0
1.71,0.99999999999992,1.71,0.5,0
1.72,0.99999999999992,1.72,0.5,0
1.73,0.99999999999969,1.73,0.5,0
1.74,0.99999999999969,1.74,0.5,0
1.75,0.99999999999969,1.75,0.5,0
1.76,0.99999999999969,1.76,0.5,0
1.77,0.99999999999966,1.77,0.5,0
1.78,0.99999999999966,1.78,0.5,0
1.79,0.99999999999966,1.79,0.5,0
1.8,0.99999999999966,1.8,0.5,0
1.81,0.9999999999996,1.81,0.5,0
1.82,0.9999999999996,1.82,0.5,0
1.83,0.9999999999996,1.83,0.5,0
1.84,0.9999999999996,1.84,0.5,0
1.85,0.99999999999964,1.85,0.5,0
1.86,0.99999999999964,1.86,0.5,0
1.87,0.99999999999964,1.87,0.5,0
1.88,0.99999999999964,1.88,0.5,0
1.89,0.99999999999964,1.89,0.5,0
1.9,0.99999999999964,1.9,0.5,0
1.91,0.99999999999964,1.91,0.5,0
1.92,0.99999999999964,1.92,0.5,0
1.93,0.99999999999967,1.93,0.5,0
1.94,0.99999999999967,1.94,0.5,0
1.95,0.99999999999967,1.95,0.5,0
1.96,0.99999999999967,1.96,0.5,0
1.97,0.9999999999998,1.97,0.5,0
1.98,0.9999999999998,1.98,0.5,0
1.99,0.9999999999998,1.99,0.5,0
2,0.9999999999998,2,0.5,0
2.01,0.99999999999971,2.01,0.5,0
2.02,0.99999999999971,2.02,0.5,0
2.03,0.99999999999971,2.03,0.5,0
2.04,0.99999999999971,2.04,0.5,0
2.05,0.99999999999974,2.05,0.5,0
2.06,0.99999999999974,2.06,0.5,0
2.07,0.99999999999974,2.07,0.5,0
2.08,0.99999999999974,2.08,0.5,0
2.09,0.99999999999979,2.09,0.5,0
2.1,0.99999999999979,2.1,0.5,0
2.11,0.99999999999979,2.11,0.5,0
2.12,0.99999999999979,2.12,0.5,0
2.13,0.99999999999991,2.13,0.5,0
2.14,0.99999999999991,2.14,0.5,0
2.15,0.99999999999991,2.15,0.5,0
2.16,0.99999999999991,2.16,0.5,0
2.17,0.99999999999996,2.17,0.5,0
2.18,0.99999999999996,2.18,0.5,0
2.19,0.99999999999996,2.19,0.5,0
2.2,0.99999999999996,2.2,0.5,0
2.21,0.99999999999981,2.21,0.5,0
2.22,0.99999999999981,2.22,0.5,0
2.23,0.99999999999981,2.23,0.5,0
2.24,0.99999999999981,2.24,0.5,0
2.25,0.99999999999967,2.25,0.5,0
2.26,0.99999999999967,2.26,0.5,0
2.27,0.99999999999967,2.27,0.5,0
2.28,0.99999999999967,2.28,0.5,0
2.29,0.99999999999965,2.29,0.5,0
2.3,0.99999999999965,2.3,0.5,0
2.31,0.99999999999965,2.31,0.5,0
2.32,0.99999999999965,2.32,0.5,0
2.33,0.9999999999997,2.33,0.5,0
2.34,0.9999999999997,2.34,0.5,0
2.35,0.9999999999997,2.35,0.5,0
2.36,0.9999999999997,2.36,0.5,0
2.37,0.9999999999996,2.37,0.5,0
2.38,0.9999999999996,2.38,0.5,0
2.39,0.9999999999996,2.39,0.5,0
2.4,0.9999999999996,2.4,0.5,0
2.41,0.99999999999972,2.41,0.5,0
2.42,0.99999999999972,2.42,0.5,0
2.43,0.99999999999972,2.43,0.5,0
2.44,0.99999999999972,2.44,0.5,0
2.45,0.99999999999972,2.45,0.5,0
2.46,0.99999999999972,2.46,0.5,0
2.47,0.99999999999972,2.47,0.5,0
2.48,0.99999999999972,2.48,0.5,0
2.49,0.99999999999967,2.49,0.5,0
2.5,0.99999999999967,2.5,0.5,0
2.51,0.99999999999967,2.51,0.5,0
2.52,0.99999999999967,2.52,0.5,0
2.53,0.99999999999966,2.53,0.5,0
2.54,0.99999999999966,2.54,0.5,0
2.55,0.99999999999966,2.55,0.5,0
2.56,0.99999999999966,2.56,0.5,0
2.57,0.9999999999997,2.57,0.5,0
2.58,0.9999999999997,2.58,0.5,0
2.59,0.9999999999997,2.59,0.5,0
2.6,0.9999999999997,2.6,0.5,0
2.61,0.9999999999997,2.61,0.5,0
2.62,0.9999999999997,2.62,0.5,0
2.63,0.9999999999997,2.63,0.5,0
2.64,0.9999999999997,2.64,0.5,0
2.65,0.99999999999967,2.65,0.5,0
2.66,0.99999999999967,2.66,0.5,0
2.67,0.99999999999967,2.67,0.5,0
2.68,0.99999999999967,2.68,0.5,0
2.69,0.99999999999957,2.69,0.5,0
2.7,0.99999999999957,2.7,0.5,0
2.71,0.99999999999957,2.71,0.5,0
2.72,0.99999999999957,2.72,0.5,0
2.73,0.99999999999955,2.73,0.5,0
2.74,0.99999999999955,2.74,0.5,0
2.75,0.99999999999955,2.75,0.5,0
2.76,0.99999999999955,2.76,0.5,0
2.77,0.99999999999956,2.77,0.5,0
2.78,0.99999999999956,2.78,0.5,0
2.79,0.99999999999956,2.79,0.5,0
2.8,0.99999999999956,2.8,0.5,0
2.81,0.99999999999949,2.81,0.5,0
2.82,0.99999999999949,2.82,0.5,0
2.83,0.99999999999949,2.83,0.5,0
