id,pressure,x,y,z
1.13,-1499.9999998582,1.13,0.5,0
1.14,-1499.9999998582,1.14,0.5,0
1.15,-1499.9999998582,1.15,0.5,0
1.16,-1499.9999998582,1.16,0.5,0
1.17,-1499.9999998582,1.17,0.5,0
1.18,-1499.9999998582,1.18,0.5,0
1.19,-1499.9999998582,1.19,0.5,0
1.2,-1499.9999998582,1.2,0.5,0
1.21,-1499.9999998582,1.21,0.5,0
1.22,-1499.9999998582,1.22,0.5,0
1.23,-1499.9999998582,1.23,0.5,0
1.24,-1499.9999998582,1.24,0.5,0
1.25,-1499.9999998582,1.25,0.5,0
1.26,-1499.9999998582,1.26,0.5,0
1.27,-1499.9999998582,1.27,0.5,0
1.28,-1499.9999998582,1.28,0.5,0
1.29,-1499.9999998582,1.29,0.5,0
1.3,-1499.9999998582,1.3,0.5,0
1.31,-1499.9999998582,1.31,0.5,0
1.32,-1499.9999998582,1.32,0.5,0
1.33,-1499.9999998582,1.33,0.5,0
1.34,-1499.9999998582,1.34,0.5,0
1.35,-1499.9999998582,1.35,0.5,0
1.36,-1499.9999998582,1.36,0.5,0
1.37,-1499.9999998582,1.37,0.5,0
1.38,-1499.9999998582,1.38,0.5,0
1.39,-1499.9999998582,1.39,0.5,0
1.4,-1499.9999998582,1.4,0.5,0
1.41,-1499.9999998582,1.41,0.5,0
1.42,-1499.9999998582,1.42,0.5,0
1.43,-1499.9999998582,1.43,0.5,0
1.44,-1499.9999998582,1.44,0.5,0
1.45,-1499.9999998582,1.45,0.5,0
1.46,-1499.9999998582,1.46,0.5,0
1.47,-1499.9999998582,1.47,0.5,0
1.48,-1499.9999998582,1.48,0.5,0
1.49,-1499.9999998582,1.49,0.5,0
1.5,-1499.9999998582,1.5,0.5,0
1.51,-1499.9999998582,1.51,0.5,0
1.52,-1499.9999998582,1.52,0.5,0
1.53,-1499.9999998582,1.53,0.5,0
1.54,-1499.9999998582,1.54,0.5,0
1.55,-1499.9999998582,1.55,0.5,0
1.56,-1499.9999998582,1.56,0.5,0
1.57,-1499.9999998582,1.57,0.5,0
1.58,-1499.9999998582,1.58,0.5,0
1.59,-1499.9999998582,1.59,0.5,0
1.6,-1499.9999998582,1.6,0.5,0
1.61,-1499.9999998582,1.61,0.5,0
1.62,-1499.9999998582,1.62,0.5,0
1.63,-1499.9999998582,1.63,0.5,0
1.64,-1499.9999998582,1.64,0.5,0
1.65,-1499.9999998582,1.65,0.5,0
1.66,-1499.9999998582,1.66,0.5,0
1.67,-1499.9999998582,1.67,0.5,0
1.68,-1499.9999998582,1.68,0.5,0
1.69,-1499.9999998582,1.69,0.5,0
1.7,-1499.9999998582,1.7,0.5,0
1.71,-1499.9999998582,1.71,0.5,0
1.72,-1499.9999998582,1.72,0.5,0
1.73,-1499.9999998582,1.73,0.5,0
1.74,-1499.9999998582,1.74,0.5,0
1.75,-1499.9999998582,1.75,0.5,0
1.76,-1499.9999998582,1.76,0.5,0
1.77,-1499.9999998582,1.77,0.5,0
1.78,-1499.9999998582,1.78,0.5,0
1.79,-1499.9999998582,1.79,0.5,0
1.8,-1499.9999998582,1.8,0.5,0
1.81,-1499.9999998582,1.81,0.5,0
1.82,-1499.9999998582,1.82,0.5,0
1.83,-1499.9999998582,1.83,0.5,0
1.84,-1499.9999998582,1.84,0.5,0
1.85,-1499.9999998582,1.85,0.5,0
1.86,-1499.9999998582,1.86,0.5,0
1.87,-1499.9999998582,1.87,0.5,0
1.88,-1499.9999998582,1.88,0.5,0
1.89,-1499.9999998582,1.89,0.5,0
1.9,-1499.9999998582,1.9,0.5,0
1.91,-1499.9999998582,1.91,0.5,0
1.92,-1499.9999998582,1.92,0.5,0
1.93,-1499.9999998582,1.93,0.5,0
1.94,-1499.9999998582,1.94,0.5,0
1.95,-1499.9999998582,1.95,0.5,0
1.96,-1499.9999998582,1.96,0.5,0
1.97,-1499.9999998582,1.97,0.5,0
1.98,-1499.9999998582,1.98,0.5,0
1.99,-1499.9999998582,1.99,0.5,0
2,-1499.9999998582,2,0.5,0
2.01,-4000.0900009718,2.01,0.5,0
2.02,-4000.0900009718,2.02,0.5,0
2.03,-4000.0900009718,2.03,0.5,0
2.04,-4000.0900009718,2.04,0.5,0
2.05,-4000.0900009718,2.05,0.5,0
2.06,-4000.0900009718,2.06,0.5,0
2.07,-4000.0900009718,2.07,0.5,0
2.08,-4000.0900009718,2.08,0.5,0
2.09,-4000.0900009718,2.09,0.5,0
2.1,-4000.0900009718,2.1,0.5,0
2.11,-4000.0900009718,2.11,0.5,0
2.12,-4000.0900009718,2.12,0.5,0
2.13,-4000.0900009718,2.13,0.5,0
2.14,-4000.0900009718,2.14,0.5,0
2.15,-4000.0900009718,2.15,0.5,0
2.16,-4000.0900009718,2.16,0.5,0
2.17,-4000.0900009718,2.17,0.5,0
2.18,-4000.0900009718,2.18,0.5,0
2.19,-4000.0900009718,2.19,0.5,0
2.2,-4000.0900009718,2.2,0.5,0
2.21,-4000.0900009718,2.21,0.5,0
2.22,-4000.0900009718,2.22,0.5,0
2.23,-4000.0900009718,2.23,0.5,0
2.24,-4000.0900009718,2.24,0.5,0
2.25,-4000.0900009718,2.25,0.5,0
2.26,-4000.0900009718,2.26,0.5,0
2.27,-4000.0900009718,2.27,0.5,0
2.28,-4000.0900009718,2.28,0.5,0
2.29,-4000.0900009718,2.29,0.5,0
2.3,-4000.0900009718,2.3,0.5,0
2.31,-4000.0900009718,2.31,0.5,0
2.32,-4000.0900009718,2.32,0.5,0
2.33,-4000.0900009718,2.33,0.5,0
2.34,-4000.0900009718,2.34,0.5,0
2.35,-4000.0900009718,2.35,0.5,0
2.36,-4000.0900009718,2.36,0.5,0
2.37,-4000.0900009718,2.37,0.5,0
2.38,-4000.0900009718,2.38,0.5,0
2.39,-4000.0900009718,2.39,0.5,0
2.4,-4000.0900009718,2.4,0.5,0
2.41,-4000.0900009718,2.41,0.5,0
2.42,-4000.0900009718,2.42,0.5,0
2.43,-4000.0900009718,2.43,0.5,0
2.44,-4000.0900009718,2.44,0.5,0
2.45,-4000.0900009718,2.45,0.5,0
2.46,-4000.0900009718,2.46,0.5,0
2.47,-4000.0900009718,2.47,0.5,0
2.48,-4000.0900009718,2.48,0.5,0
2.49,-4000.0900009718,2.49,0.5,0
2.5,-4000.0900009718,2.5,0.5,0
2.51,-4000.0900009718,2.51,0.5,0
2.52,-4000.0900009718,2.52,0.5,0
2.53,-4000.0900009718,2.53,0.5,0
2.54,-4000.0900009718,2.54,0.5,0
2.55,-4000.0900009718,2.55,0.5,0
2.56,-4000.0900009718,2.56,0.5,0
2.57,-4000.0900009718,2.57,0.5,0
2.58,-4000.0900009718,2.58,0.5,0
2.59,-4000.0900009718,2.59,0.5,0
2.6,-4000.0900009718,2.6,0.5,0
2.61,-4000.0900009718,2.61,0.5,0
2.62,-4000.0900009718,2.62,0.5,0
2.63,-4000.0900009718,2.63,0.5,0
2.64,-4000.0900009718,2.64,0.5,0
2.65,-4000.0900009718,2.65,0.5,0
2.66,-4000.0900009718,2.66,0.5,0
2.67,-4000.0900009718,2.67,0.5,0
2.68,-4000.0900009718,2.68,0.5,0
2.69,-4000.0900009718,2.69,0.5,0
2.7,-4000.0900009718,2.7,0.5,0
2.71,-4000.0900009718,2.71,0.5,0
2.72,-4000.0900009718,2.72,0.5,0
2.73,-4000.0900009718,2.73,0.5,0
2.74,-4000.0900009718,2.74,0.5,0
2.75,-4000.0900009718,2.75,0.5,0
2.76,-4000.0900009718,2.76,0.5,0
2.77,-4000.0900009718,2.77,0.5,0
2.78,-4000.0900009718,2.78,0.5,0
2.79,-4000.0900009718,2.79,0.5,0
2.8,-4000.0900009718,2.8,0.5,0
2.81,-4000.0900009718,2.81,0.5,0
2.82,-4000.0900009718,2.82,0.5,0
2.83,-4000.0900009718,2.83,0.5,0
2.84,-4000.0900009718,2.84,0.5,0
2.85,-4000.0900009719,2.85,0.5,0
2.86,-4000.0900009719,2.86,0.5,0
2.87,-4000.0900009719,2.87,0.5,0
2.88,-4000.0900009719,2.88,0.5,0
2.89,-4000.0900009719,2.89,0.5,0
2.9,-4000.0900009719,2.9,0.5,0
2.91,-4000.0900009719,2.91,0.5,0
2.92,-4000.0900009719,2.92,0.5,0
2.93,-4000.0900009722,2.93,0.5,0
2.94,-4000.0900009722,2.94,0.5,0
2.95,-4000.0900009722,2.95,0.5,0
2.96,-4000.0900009722,2.96,0.5,0
2.97,-4000.0900009729,2.97,0.5,0
2.98,-4000.0900009729,2.98,0.5,0
2.99,-4000.0900009729,2.99,0.5,0
3,-4000.0900009729,3,0.5,0
3.01,2.3853038089903e-11,3.01,0.5,0
3.02,2.3853038089903e-11,3.02,0.5,0
3.03,2.3853038089903e-11,3.03,0.5,0
3.04,2.3853038089903e-11,3.04,0.5,0
3.05,-2.2835517891282e-12,3.05,0.5,0
3.06,-2.2835517891282e-12,3.06,0.5,0
3.07,-2.2835517891282e-12,3.07,0.5,0
3.08,-2.2835517891282e-12,3.08,0.5,0
3.09,-1.3714590968074e-11,3.09,0.5,0
3.1,-1.3714590968074e-11,3.1,0.5,0
3.11,-1.3714590968074e-11,3.11,0.5,0
3.12,-1.3714590968074e-11,3.12,0.5,0
3.13,-1.9408717441337e-12,3.13,0.5,0
3.14,-1.9408717441337e-12,3.14,0.5,0
3.15,-1.9408717441337e-12,3.15,0.5,0
3.16,-1.9408717441337e-12,3.16,0.5,0
3.17,6.2080073643316e-13,3.17,0.5,0
3.18,6.2080073643316e-13,3.18,0.5,0
3.19,6.2080073643316e-13,3.19,0.5,0
3.2,6.2080073643316e-13,3.2,0.5,0
3.21,-1.0915327472255e-12,3.21,0.5,0
3.22,-1.0915327472255e-12,3.22,0.5,0
3.23,-1.0915327472255e-12,3.23,0.5,0
3.24,-1.0915327472255e-12,3.24,0.5,0
3.25,-1.649182560547e-12,3.25,0.5,0
3.26,-1.649182560547e-12,3.26,0.5,0
3.27,-1.649182560547e-12,3.27,0.5,0
3.28,-1.649182560547e-12,3.28,0.5,0
3.29,-1.15133779815e-12,3.29,0.5,0
3.3,-1.15133779815e-12,3.3,0.5,0
3.31,-1.15133779815e-12,3.31,0.5,0
3.32,-1.15133779815e-12,3.32,0.5,0
3.33,-1.2031362899215e-12,3.33,0.5,0
3.34,-1.2031362899215e-12,3.34,0.5,0
3.35,-1.2031362899215e-12,3.35,0.5,0
3.36,-1.2031362899215e-12,3.36,0.5,0
3.37,-1.4809079815681e-12,3.37,0.5,0
3.38,-1.4809079815681e-12,3.38,0.5,0
