x,superficial_u
0.4089775561097257,1.0
0.41895261845386533,1.0
0.428927680798005,1.0
0.4389027431421446,1.0
0.4488778054862843,1.0
0.45885286783042395,0.9999999999999986
0.4688279301745636,0.9999999999999986
0.47880299251870323,0.9999999999999986
0.48877805486284287,0.9999999999999986
0.49875311720698257,0.9999999999999986
0.5087281795511222,0.9999999999999986
0.5187032418952618,0.9999999999999986
0.5286783042394015,0.9999999999999986
0.5386533665835411,0.9999999999999986
0.5486284289276808,0.9999999999999986
0.5586034912718204,0.9999999999999982
0.5685785536159601,0.9999999999999982
0.5785536159600998,0.9999999999999982
0.5885286783042394,0.9999999999999982
0.5985037406483791,0.9999999999999982
0.6084788029925187,1.0
0.6184538653366584,1.0
0.628428927680798,1.0
0.6384039900249376,1.0
0.6483790523690773,1.0
0.6583541147132169,0.9999999999999999
0.6683291770573566,0.9999999999999999
0.6783042394014963,0.9999999999999999
0.6882793017456359,0.9999999999999999
0.6982543640897756,0.9999999999999999
0.7082294264339152,0.9999999999999999
0.7182044887780549,0.9999999999999999
0.7281795511221946,0.9999999999999999
0.7381546134663342,0.9999999999999999
0.7481296758104738,0.9999999999999999
0.7581047381546134,0.9999999999999999
0.7680798004987531,0.9999999999999999
0.7780548628428927,0.9999999999999999
0.7880299251870324,0.9999999999999999
0.7980049875311721,0.9999999999999999
0.8079800498753117,1.0
0.8179551122194514,1.0
0.827930174563591,1.0
0.8379052369077307,1.0
0.8478802992518704,1.0
0.85785536159601,1.0
0.8678304239401496,1.0
0.8778054862842892,1.0
0.8877805486284289,1.0
0.8977556109725686,1.0
0.9077306733167082,1.0
0.9177057356608479,1.0
0.9276807980049875,1.0
0.9376558603491272,1.0
0.9476309226932669,1.0
0.9576059850374065,1.0
0.9675810473815462,1.0
0.9775561097256857,1.0
0.9875311720698254,1.0
0.9975062344139651,1.0
1.0074812967581048,0.9999999999999996
1.0174563591022443,0.9999999999999996
1.027431421446384,0.9999999999999996
1.0374064837905237,0.9999999999999996
1.0473815461346634,0.9999999999999996
1.057356608478803,1.0
1.0673316708229426,1.0
1.0773067331670823,1.0
1.087281795511222,1.0
1.0972568578553616,1.0
1.1072319201995013,0.9999999999999999
1.1172069825436408,0.9999999999999999
1.1271820448877805,0.9999999999999999
1.1371571072319202,0.9999999999999999
1.14713216957606,0.9999999999999999
1.1571072319201996,1.0000000000000002
1.167082294264339,1.0000000000000002
1.1770573566084788,1.0000000000000002
1.1870324189526185,1.0000000000000002
1.1970074812967582,1.0000000000000002
1.2069825436408979,1.0000000000000002
1.2169576059850373,1.0000000000000002
1.226932668329177,1.0000000000000002
1.2369077306733167,1.0000000000000002
1.2468827930174564,1.0000000000000002
1.256857855361596,1.0
1.2668329177057356,1.0
1.2768079800498753,1.0
1.286783042394015,1.0
1.2967581047381547,1.0
1.3067331670822944,1.0
1.3167082294264338,1.0
1.3266832917705735,1.0
1.3366583541147132,1.0
1.346633416458853,1.0
1.3566084788029926,1.0000000000000002
1.366583541147132,1.0000000000000002
1.3765586034912718,1.0000000000000002
1.3865336658354115,1.0000000000000002
1.3965087281795512,1.0000000000000002
1.4064837905236909,1.0000000000000002
1.4164588528678304,1.0000000000000002
1.42643391521197,1.0000000000000002
1.4364089775561097,1.0000000000000002
1.4463840399002494,1.0000000000000002
1.4563591022443891,0.9999999999999997
1.4663341645885286,0.9999999999999997
1.4763092269326683,0.9999999999999997
1.486284289276808,0.9999999999999997
1.4962593516209477,0.9999999999999997
0.0,1.0
0.00997506234413965,1.0
0.0199501246882793,1.0
0.029925187032418952,1.0
0.0399002493765586,1.0
0.04987531172069826,1.0
0.059850374064837904,0.9999999999999984
0.06982543640897755,0.9999999999999984
0.0798004987531172,0.9999999999999984
0.08977556109725686,0.9999999999999984
0.09975062344139651,0.9999999999999984
0.10972568578553615,0.9999999999999986
0.11970074812967581,0.9999999999999986
0.12967581047381546,0.9999999999999986
0.1396508728179551,0.9999999999999986
0.14962593516209477,0.9999999999999986
0.1596009975062344,0.9999999999999984
0.16957605985037408,0.9999999999999984
